"Passengers on bigger public, manned Danish airports by category of"
"passenger, airport and time"

" ";" ";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"1000 PASSENGERS, TOTAL"
" ";"AIRPORT TOTAL";31869;34587;34966;36390;36385;9323;11726;27967;32978;36042

"Source: Danish Transport Authority.  Bigger airports are airports "
"with schedulede flight passengers or with at least 50,000 flight "
"operations annually "

