"Rail transport of passengers by type of transport, unit and time"

" ";" ";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3";"2016Q4";"2017Q1";"2017Q2";"2017Q3";"2017Q4";"2018Q1";"2018Q2";"2018Q3";"2018Q4";"2019Q1";"2019Q2";"2019Q3";"2019Q4";"2020Q1";"2020Q2";"2020Q3";"2020Q4";"2021Q1";"2021Q2";"2021Q3";"2021Q4";"2022Q1";"2022Q2";"2022Q3";"2022Q4";"2023Q1";"2023Q2";"2023Q3";"2023Q4";"2024Q1";"2024Q2";"2024Q3";"2024Q4";"2025Q1";"2025Q2";"2025Q3"
"RAILWAY NETWORK, TOTAL"
" ";"1000 passagerer";65116;67374;66028;70951;66324;69733;65922;70343;67903;67426;63814;70954;66281;69960;65597;71543;68062;68756;67916;85590;64730;34355;54459;47638;30721;49409;62260;69038;63062;78082;78618;81805;80549;83212;83078;87165;81999;88959;86308;92058;87675;91583;88287

"Transit passengers through Denmark are not included under "
"international traffic. Because of roundings the presented totals may "
"deviate from the sum of corresponding data. "

